PassengerId,Survived
710,1
440,1
841,1
721,1
40,1
291,1
301,1
334,1
209,1
137,1
138,1
697,1
486,1
245,1
345,1
854,1
622,1
654,1
887,1
111,1
295,1
448,1
193,1
683,1
539,1
820,0
31,1
674,1
64,0
397,1
878,1
142,1
794,1
236,1
205,1
621,1
24,1
199,1
843,1
740,1
121,1
478,1
838,1
791,1
363,1
87,0
68,1
351,1
211,1
660,1
449,1
821,1
361,0
803,1
281,1
586,1
71,1
300,1
212,1
45,1
409,1
447,1
427,1
169,1
197,1
773,1
73,1
423,1
533,1
592,1
313,1
312,1
890,1
836,1
834,1
606,1
768,1
540,1
358,1
255,1
267,0
67,1
320,1
779,1
175,1
494,1
216,1
310,1
823,1
251,1
166,1
542,1
626,1
389,1
77,1
282,1
713,1
339,1
328,1
322,1
546,1
591,1
292,1
466,1
815,1
443,1
671,1
463,1
287,1
210,1
670,1
228,1
850,1
513,1
528,1
877,1
97,1
293,1
324,1
737,1
530,1
219,1
276,1
79,1
786,1
605,1
797,1
140,1
579,1
495,1
360,1
66,1
482,1
778,1
600,1
831,1
307,1
232,1
846,1
50,1
653,1
855,1
343,1
595,1
886,1
417,1
214,1
34,1
32,1
669,1
585,1
515,1
689,1
110,1
78,1
612,1
644,1
83,1
519,1
658,1
297,1
508,1
809,1
376,1
6,1
55,1
399,1
458,1
522,1
364,1
98,1
418,1
573,1
853,1
434,1
774,1
26,1
85,1
11,1
